@relation 'train_data-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C22-L2-weka.filters.unsupervised.attribute.MathExpression-Eabs(A11)-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-EA11/365-R1-10,12-22-weka.filters.unsupervised.attribute.MathExpression-Eabs(A12)-R1-11,13-22-weka.filters.unsupervised.attribute.MathExpression-EA12/365-R1-11,13-22-weka.filters.unsupervised.attribute.AddExpression-Ea11+a12-NStability-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-Rfirst-last-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-RIncome-N\'(-inf-0.333333]\':Low,\'(0.333333-0.666667]\':Middle,\'(0.666667-inf)\':High-weka.filters.unsupervised.attribute.RenameNominalValues-RAge-N\'(-inf-0.333333]\':Young,\'(0.333333-0.666667]\':Adult,\'(0.666667-inf)\':Old-weka.filters.unsupervised.attribute.RenameNominalValues-R12-N\'(-inf-0.333333]\':Fresh,\'(0.333333-0.666667]\':Junior,\'(0.666667-inf)\':Senior-weka.filters.unsupervised.attribute.Remove-R1-6,8,10-11,13-16,18,20-23-weka.filters.unsupervised.attribute.RenameNominalValues-RAccount age-N\'(-inf-0.333333]\':\'new\', \'(0.333333-0.666667]\':\'moderate\', \'(0.666667-inf)\':\'old\''

@attribute 'Employment status' {Working,'Commercial associate',Pensioner,'State servant',Student}
@attribute 'Marital status' {Married,'Single / not married',Separated,'Civil marriage',Widow}
@attribute 'Employment length' {Fresh,Junior,Senior}
@attribute 'Job title' {'Core staff',Accountants,Laborers,Managers,'Sales staff','Medicine staff','High skill tech staff','HR staff','Low-skill Laborers',Drivers,Secretaries,'Cleaning staff','Cooking staff','Security staff','Private service staff','IT staff','Waiters/barmen staff','Realty agents'}
@attribute 'Account age' {'\'new\'','\'moderate\'','\'old\''}

@data
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Separated,Fresh,Laborers,'\'moderate\''
Working,'Civil marriage',Fresh,'Cooking staff','\'old\''
Working,'Single / not married',Fresh,'Sales staff','\'old\''
'State servant',Married,Junior,'Core staff','\'old\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'new\''
Working,'Single / not married',Junior,'Cooking staff','\'old\''
Working,Married,Fresh,'Security staff','\'new\''
Working,Married,Junior,'High skill tech staff','\'moderate\''
Working,Married,Fresh,'Cleaning staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Junior,Laborers,'\'new\''
Working,Separated,Junior,'Core staff','\'moderate\''
Working,Married,Fresh,Drivers,'\'old\''
Working,Married,Fresh,'Core staff','\'moderate\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'moderate\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Accountants,'\'new\''
Working,Married,Fresh,'Cooking staff','\'new\''
Working,Married,Fresh,'High skill tech staff','\'old\''
Working,Married,Fresh,Drivers,'\'moderate\''
Working,Married,Junior,'High skill tech staff','\'new\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Fresh,Drivers,'\'old\''
Working,Separated,Fresh,'Security staff','\'new\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'old\''
'Commercial associate',Married,Junior,Laborers,'\'new\''
Working,'Single / not married',Fresh,'Sales staff','\'old\''
Working,Married,Fresh,Managers,'\'old\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'new\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Fresh,'Security staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Managers,'\'old\''
'Commercial associate','Civil marriage',Junior,'Sales staff','\'new\''
Working,'Single / not married',Fresh,Drivers,'\'moderate\''
Working,Married,Fresh,Drivers,'\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Drivers,'\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Cooking staff','\'new\''
Working,Married,Fresh,'Core staff','\'old\''
Working,Married,Junior,Laborers,'\'new\''
'Commercial associate','Single / not married',Fresh,Drivers,'\'old\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
'State servant',Married,Senior,Managers,'\'moderate\''
Working,Married,Junior,Managers,'\'moderate\''
'Commercial associate',Married,Junior,Accountants,'\'moderate\''
Working,Married,Fresh,Managers,'\'old\''
'Commercial associate',Married,Fresh,Accountants,'\'moderate\''
'Commercial associate','Civil marriage',Fresh,Managers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,'Core staff','\'moderate\''
Working,Married,Fresh,Accountants,'\'old\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'old\''
Working,'Civil marriage',Junior,Laborers,'\'moderate\''
'State servant','Single / not married',Junior,'Medicine staff','\'old\''
Working,Married,Junior,Laborers,'\'old\''
'State servant',Married,Fresh,'Core staff','\'moderate\''
Working,'Civil marriage',Fresh,'Low-skill Laborers','\'old\''
Working,Married,Fresh,Drivers,'\'new\''
Working,'Single / not married',Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\''
Working,Married,Fresh,'Medicine staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Junior,'High skill tech staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Laborers,'\'new\''
'Commercial associate',Married,Fresh,'Medicine staff','\'new\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Junior,'High skill tech staff','\'moderate\''
'Commercial associate','Single / not married',Fresh,Managers,'\'moderate\''
Working,Married,Junior,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,Drivers,'\'new\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'new\''
Working,'Single / not married',Fresh,'Core staff','\'new\''
'Commercial associate','Civil marriage',Junior,'Sales staff','\'moderate\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
Working,Widow,Fresh,Laborers,'\'new\''
Working,Married,Fresh,Managers,'\'old\''
Working,Married,Fresh,'Medicine staff','\'new\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Separated,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'new\''
'Commercial associate',Married,Junior,Managers,'\'moderate\''
Working,Married,Junior,'Security staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Junior,Laborers,'\'moderate\''
Working,Widow,Fresh,Laborers,'\'new\''
Working,Married,Junior,Managers,'\'new\''
Working,'Single / not married',Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Low-skill Laborers','\'moderate\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Junior,'Sales staff','\'old\''
'Commercial associate',Married,Fresh,'IT staff','\'new\''
Working,'Single / not married',Fresh,'Cooking staff','\'old\''
'State servant',Married,Junior,Drivers,'\'old\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'new\''
'State servant','Civil marriage',Junior,'Medicine staff','\'new\''
'Commercial associate','Civil marriage',Fresh,'Core staff','\'old\''
'State servant',Married,Junior,'Medicine staff','\'new\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,Managers,'\'new\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,Laborers,'\'new\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,Drivers,'\'moderate\''
'State servant',Married,Fresh,Laborers,'\'new\''
'State servant',Married,Junior,'High skill tech staff','\'moderate\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Senior,Laborers,'\'old\''
'Commercial associate',Married,Junior,'Cooking staff','\'old\''
Working,'Single / not married',Fresh,Drivers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate','Single / not married',Fresh,Managers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Private service staff','\'new\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'old\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,Married,Fresh,Managers,'\'moderate\''
Working,'Civil marriage',Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,Accountants,'\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Drivers,'\'old\''
'State servant',Married,Fresh,'High skill tech staff','\'old\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'new\''
'State servant',Married,Fresh,'Core staff','\'old\''
Working,'Civil marriage',Fresh,'Low-skill Laborers','\'moderate\''
'Commercial associate',Married,Junior,Laborers,'\'new\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,Married,Fresh,'Medicine staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,Drivers,'\'new\''
Working,Married,Fresh,'Sales staff','\'moderate\''
'State servant',Married,Fresh,'Medicine staff','\'new\''
'Commercial associate',Separated,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Junior,Managers,'\'moderate\''
Working,Separated,Fresh,Laborers,'\'old\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'old\''
'Commercial associate','Single / not married',Fresh,Secretaries,'\'moderate\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'old\''
Working,Married,Senior,Laborers,'\'moderate\''
Working,Married,Junior,'Medicine staff','\'moderate\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate','Single / not married',Fresh,'Core staff','\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,Separated,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Core staff','\'old\''
Working,Married,Junior,'Security staff','\'new\''
Working,Separated,Senior,'Cleaning staff','\'new\''
Working,Married,Senior,Laborers,'\'old\''
'State servant',Married,Fresh,'Core staff','\'old\''
Working,Married,Fresh,'Private service staff','\'old\''
'State servant','Single / not married',Fresh,'Medicine staff','\'new\''
Working,Married,Fresh,Drivers,'\'moderate\''
'Commercial associate','Single / not married',Junior,'Core staff','\'old\''
Working,Married,Fresh,'Core staff','\'old\''
'Commercial associate',Married,Fresh,Accountants,'\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'new\''
Working,Married,Fresh,'High skill tech staff','\'moderate\''
Working,Separated,Fresh,'Security staff','\'old\''
Working,'Civil marriage',Fresh,Laborers,'\'new\''
Working,Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Fresh,Managers,'\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Core staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'new\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'new\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
'State servant',Married,Junior,Laborers,'\'old\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
'State servant',Married,Junior,'High skill tech staff','\'old\''
Working,Married,Fresh,Laborers,'\'new\''
Working,'Single / not married',Senior,'Private service staff','\'old\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\''
'State servant',Married,Fresh,Laborers,'\'new\''
Working,Separated,Fresh,'Cooking staff','\'old\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,'High skill tech staff','\'moderate\''
Working,Married,Fresh,'Cleaning staff','\'old\''
Working,Separated,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Sales staff','\'old\''
Working,Married,Fresh,'Sales staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'State servant',Separated,Fresh,Laborers,'\'old\''
'State servant','Single / not married',Fresh,Laborers,'\'old\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'new\''
'Commercial associate',Separated,Senior,'High skill tech staff','\'old\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
Working,'Civil marriage',Fresh,Drivers,'\'moderate\''
'Commercial associate',Married,Fresh,Accountants,'\'old\''
'State servant','Civil marriage',Junior,'High skill tech staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Separated,Fresh,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,'Core staff','\'old\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Fresh,'Cooking staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\''
Working,Married,Fresh,'Core staff','\'moderate\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
'State servant',Married,Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,Managers,'\'new\''
Working,Married,Fresh,Managers,'\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'State servant',Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Medicine staff','\'old\''
'State servant',Married,Junior,'Medicine staff','\'new\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Drivers,'\'moderate\''
Working,Married,Fresh,'Core staff','\'moderate\''
Working,Married,Fresh,'Cooking staff','\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\''
Working,'Single / not married',Fresh,'Core staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'State servant',Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Core staff','\'moderate\''
Working,Separated,Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,Drivers,'\'old\''
'State servant',Married,Fresh,'Core staff','\'moderate\''
'Commercial associate',Married,Junior,Managers,'\'new\''
Working,Married,Fresh,Accountants,'\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,'High skill tech staff','\'old\''
Working,Married,Fresh,'Medicine staff','\'old\''
'State servant',Married,Fresh,'Medicine staff','\'old\''
'Commercial associate','Single / not married',Fresh,'Private service staff','\'moderate\''
Working,Married,Junior,Drivers,'\'moderate\''
'Commercial associate',Married,Fresh,Managers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Sales staff','\'old\''
Working,Married,Senior,Laborers,'\'old\''
Working,Married,Fresh,Drivers,'\'old\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,Managers,'\'moderate\''
Working,Married,Fresh,'Cleaning staff','\'moderate\''
'Commercial associate','Single / not married',Junior,Laborers,'\'moderate\''
Working,'Civil marriage',Fresh,'Cooking staff','\'new\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,'High skill tech staff','\'old\''
Working,Married,Fresh,'Waiters/barmen staff','\'moderate\''
Working,'Single / not married',Fresh,'Cleaning staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,'Core staff','\'moderate\''
'Commercial associate',Married,Fresh,'Core staff','\'new\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Drivers,'\'new\''
'Commercial associate','Civil marriage',Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'new\''
Working,'Single / not married',Senior,'Core staff','\'moderate\''
'Commercial associate',Widow,Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Core staff','\'old\''
'Commercial associate',Married,Fresh,'Private service staff','\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'new\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Fresh,Accountants,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Separated,Fresh,'Sales staff','\'new\''
'Commercial associate',Married,Junior,Accountants,'\'new\''
'Commercial associate',Married,Junior,Managers,'\'moderate\''
Pensioner,Married,Fresh,'Core staff','\'moderate\''
'Commercial associate','Civil marriage',Fresh,Laborers,'\'old\''
Working,Married,Senior,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
'State servant','Single / not married',Fresh,'Medicine staff','\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Fresh,Laborers,'\'moderate\''
'State servant',Separated,Fresh,'Core staff','\'old\''
Working,'Civil marriage',Fresh,'Sales staff','\'moderate\''
Working,'Civil marriage',Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Cleaning staff','\'old\''
'State servant',Married,Junior,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,Drivers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Single / not married',Senior,'Core staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Core staff','\'old\''
Working,Married,Junior,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,Drivers,'\'moderate\''
Working,Married,Fresh,'Security staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Medicine staff','\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
'State servant',Married,Fresh,'Medicine staff','\'old\''
'State servant',Married,Junior,Managers,'\'old\''
'Commercial associate',Separated,Fresh,'Security staff','\'new\''
Working,'Single / not married',Junior,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Security staff','\'moderate\''
'Commercial associate',Married,Fresh,'High skill tech staff','\'new\''
Working,Married,Fresh,'Security staff','\'moderate\''
'Commercial associate',Married,Junior,Managers,'\'old\''
Working,Married,Fresh,'Cleaning staff','\'new\''
'State servant',Married,Fresh,Drivers,'\'moderate\''
Working,Married,Fresh,'Core staff','\'old\''
Working,Widow,Junior,Accountants,'\'old\''
Working,Married,Fresh,'Waiters/barmen staff','\'old\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Junior,'Medicine staff','\'new\''
Working,Married,Fresh,'Realty agents','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Sales staff','\'moderate\''
'Commercial associate',Married,Fresh,Accountants,'\'moderate\''
'State servant','Single / not married',Junior,Secretaries,'\'moderate\''
'Commercial associate',Married,Fresh,Accountants,'\'old\''
'Commercial associate','Single / not married',Fresh,Laborers,'\'old\''
'Commercial associate',Married,Junior,Laborers,'\'new\''
Working,Married,Fresh,'Sales staff','\'old\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Cooking staff','\'old\''
'State servant',Married,Fresh,Managers,'\'new\''
Working,Married,Junior,Laborers,'\'moderate\''
Working,Married,Fresh,Managers,'\'old\''
'Commercial associate',Married,Junior,Laborers,'\'moderate\''
Working,'Single / not married',Fresh,'Core staff','\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\''
'State servant','Single / not married',Fresh,'Medicine staff','\'old\''
Working,Married,Fresh,Drivers,'\'new\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\''
Working,'Civil marriage',Fresh,Accountants,'\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'High skill tech staff','\'moderate\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Core staff','\'moderate\''
'State servant','Single / not married',Fresh,'Core staff','\'old\''
Working,Married,Fresh,'Core staff','\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Junior,'Sales staff','\'moderate\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Fresh,Drivers,'\'new\''
Working,Married,Junior,Drivers,'\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,Accountants,'\'moderate\''
Working,Married,Fresh,Accountants,'\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Core staff','\'moderate\''
'Commercial associate',Separated,Fresh,Accountants,'\'moderate\''
'State servant',Married,Fresh,'Core staff','\'moderate\''
Working,Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,'Single / not married',Senior,Accountants,'\'old\''
'Commercial associate',Separated,Fresh,'Private service staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Managers,'\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
Working,Separated,Fresh,'Low-skill Laborers','\'old\''
'State servant','Civil marriage',Junior,Laborers,'\'new\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Separated,Fresh,Accountants,'\'old\''
Working,Married,Fresh,Drivers,'\'new\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Fresh,Accountants,'\'old\''
Working,Married,Junior,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,'Security staff','\'moderate\''
Working,Married,Fresh,'High skill tech staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Junior,Laborers,'\'new\''
Working,'Single / not married',Senior,'Core staff','\'new\''
Working,Married,Fresh,'Core staff','\'new\''
'State servant',Married,Junior,'Medicine staff','\'old\''
Working,Married,Fresh,'Sales staff','\'moderate\''
Working,Separated,Fresh,Laborers,'\'old\''
Working,Married,Fresh,'Core staff','\'old\''
'Commercial associate',Married,Fresh,'Security staff','\'new\''
'Commercial associate',Married,Fresh,Accountants,'\'moderate\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'moderate\''
'State servant',Married,Fresh,'High skill tech staff','\'new\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\''
'Commercial associate',Married,Fresh,Drivers,'\'old\''
Working,'Civil marriage',Fresh,'Core staff','\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'new\''
Working,'Single / not married',Fresh,'Sales staff','\'old\''
Working,'Single / not married',Senior,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,'Medicine staff','\'moderate\''
Working,Married,Fresh,Managers,'\'moderate\''
Working,Married,Fresh,Laborers,'\'old\''
Working,'Civil marriage',Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Managers,'\'old\''
'Commercial associate',Widow,Fresh,'Cleaning staff','\'old\''
Working,Widow,Fresh,'Sales staff','\'new\''
'Commercial associate',Married,Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
'State servant',Separated,Junior,'High skill tech staff','\'old\''
Working,Married,Fresh,Laborers,'\'new\''
'Commercial associate',Married,Fresh,Laborers,'\'new\''
Working,Married,Fresh,Laborers,'\'moderate\''
'Commercial associate','Single / not married',Fresh,'Sales staff','\'old\''
'State servant',Widow,Senior,'Core staff','\'new\''
Working,'Single / not married',Senior,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
Working,'Single / not married',Senior,'Private service staff','\'new\''
Working,'Single / not married',Senior,Laborers,'\'moderate\''
'Commercial associate',Married,Junior,Accountants,'\'old\''
Working,Married,Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'moderate\''
Working,'Single / not married',Junior,Laborers,'\'old\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\''
Working,Married,Fresh,Drivers,'\'moderate\''
'Commercial associate','Civil marriage',Fresh,'Sales staff','\'old\''
'Commercial associate',Married,Fresh,Managers,'\'old\''
'State servant',Widow,Junior,'Medicine staff','\'old\''
'State servant',Married,Fresh,'Core staff','\'moderate\''
Working,Married,Fresh,'Sales staff','\'old\''
Working,'Single / not married',Fresh,Laborers,'\'old\''
'Commercial associate',Widow,Fresh,'Cooking staff','\'moderate\''
Working,'Single / not married',Fresh,'Core staff','\'new\''
'Commercial associate','Civil marriage',Senior,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'old\''
Working,Married,Fresh,Laborers,'\'new\''
'State servant',Married,Junior,'Medicine staff','\'old\''
'State servant',Married,Fresh,Laborers,'\'moderate\''
'Commercial associate',Married,Fresh,'Core staff','\'new\''
Working,Married,Fresh,Laborers,'\'moderate\''
'State servant',Married,Senior,'Cooking staff','\'old\''
Working,Married,Fresh,'Core staff','\'moderate\''
'State servant',Married,Fresh,Laborers,'\'new\''
Working,'Single / not married',Fresh,'Sales staff','\'old\''
'Commercial associate','Civil marriage',Fresh,Managers,'\'new\''
'Commercial associate',Married,Fresh,Drivers,'\'old\''
Working,Married,Fresh,'Private service staff','\'old\''
Working,Married,Fresh,'Cooking staff','\'new\''
'Commercial associate',Married,Fresh,Managers,'\'moderate\''
'Commercial associate',Married,Fresh,Drivers,'\'new\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,'Cooking staff','\'old\''
Working,'Single / not married',Fresh,'Core staff','\'old\''
Working,Married,Fresh,Laborers,'\'moderate\''
Working,Married,Fresh,Drivers,'\'new\''
Working,Widow,Fresh,Managers,'\'old\''
'Commercial associate',Married,Fresh,'Cooking staff','\'old\''
Working,Married,Fresh,'Core staff','\'new\''
Working,Married,Fresh,Accountants,'\'old\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
'State servant',Married,Fresh,Drivers,'\'moderate\''
Working,Married,Fresh,'High skill tech staff','\'old\''
'Commercial associate',Married,Junior,'High skill tech staff','\'old\''
Working,Married,Fresh,'Sales staff','\'new\''
'Commercial associate',Married,Fresh,'Sales staff','\'old\''
Working,Married,Junior,Laborers,'\'new\''
'Commercial associate',Married,Fresh,'Low-skill Laborers','\'moderate\''
Working,'Civil marriage',Fresh,Laborers,'\'new\''
'Commercial associate',Married,Fresh,Laborers,'\'old\''
'Commercial associate',Married,Fresh,Accountants,'\'moderate\''
Working,Married,Fresh,'Sales staff','\'new\''
Working,Married,Fresh,Laborers,'\'old\''
